,1985,1995,2005,2015,2018
476,129.0,135.0,75.0,67.0,48.0
1268,,,,,
477,97.0,141.0,67.0,94.0,66.0
478,116.0,129.0,30.0,46.0,107.0
1149,,,,,
479,150.0,83.0,18.0,9.0,50.0
480,93.0,111.0,77.0,103.0,174.0
481,98.0,108.0,178.0,68.0,65.0
482,117.0,115.0,72.0,90.0,130.0
1285,,,,,
1186,,,,,
1049,,,127.0,40.0,45.0
1121,,,,,
483,114.0,72.0,40.0,21.0,39.0
484,126.0,100.0,112.0,91.0,91.0
1277,,,,,
485,96.0,112.0,86.0,122.0,101.0
486,267.0,92.0,21.0,4.0,0.0
487,110.0,75.0,80.0,117.0,197.0
488,161.0,120.0,191.0,21.0,61.0
1262,,,,,
489,109.0,134.0,73.0,96.0,79.0
490,107.0,126.0,86.0,106.0,94.0
491,127.0,121.0,123.0,87.0,38.0
1114,,,,,
1066,,,208.0,76.0,47.0
492,93.0,120.0,76.0,57.0,44.0
1173,,,,,
918,114.0,89.0,70.0,66.0,150.0
1221,,,,,
1222,,,,,
1151,,,,,
945,,,0.0,0.0,140.0
493,148.0,92.0,87.0,84.0,50.0
1057,,,100.0,117.0,15.0
1195,,,,,
1159,,,,,
494,122.0,71.0,67.0,52.0,70.0
1256,,,,,
495,121.0,44.0,112.0,59.0,96.0
1184,,,,,
496,121.0,123.0,48.0,65.0,69.0
1082,,,,103.0,122.0
956,,111.0,59.0,3.0,43.0
497,,99.0,80.0,109.0,108.0
963,,146.0,134.0,111.0,106.0
498,122,114,91,56,49
499,102.0,120.0,80.0,95.0,100.0
500,120.0,90.0,59.0,79.0,139.0
501,,128.0,65.0,107.0,77.0
1058,,,110.0,50.0,21.0
502,66.0,125.0,37.0,45.0,96.0
503,105.0,77.0,117.0,59.0,50.0
504,168.0,76.0,12.0,0.0,35.0
505,92.0,101.0,73.0,107.0,94.0
506,98.0,109.0,93.0,106.0,114.0
507,,,,,
964,,,72.0,4.0,61.0
944,,,73.0,105.0,117.0
1065,,,279.0,32.0,29.0
508,71.0,125.0,123.0,6.0,14.0
509,,96.0,111.0,92.0,80.0
510,117.0,87.0,19.0,67.0,126.0
511,173.0,151.0,184.0,55.0,20.0
512,70.0,132.0,94.0,128.0,140.0
969,,,195.0,42.0,51.0
896,,96.0,117.0,67.0,54.0
514,146.0,224.0,359.0,35.0,22.0
515,100.0,131.0,42.0,101.0,136.0
516,107.0,98.0,62.0,82.0,121.0
1271,,,,,
517,123.0,92.0,131.0,60.0,79.0
1102,,,,,
518,80.0,139.0,149.0,37.0,55.0
519,120.0,111.0,147.0,20.0,11.0
1270,,,,,
520,132.0,100.0,57.0,73.0,132.0
521,,85.0,97.0,89.0,84.0
522,,83.0,120.0,86.0,98.0
988,,,55.0,67.0,117.0
1187,,,,,
523,133.0,104.0,31.0,58.0,91.0
524,112.0,115.0,89.0,87.0,74.0
1223,,,,,
525,93.0,153.0,126.0,79.0,138.0
526,202.0,169.0,43.0,1.0,54.0
527,,,,,
528,,100.0,102.0,86.0,88.0
529,201.0,52.0,2.0,3.0,44.0
530,118.0,104.0,58.0,75.0,123.0
531,91.0,108.0,98.0,127.0,100.0
532,123.0,121.0,116.0,86.0,37.0
1050,,,109.0,25.0,29.0
533,118.0,98.0,111.0,73.0,63.0
1122,,,,,
1158,,,,,
534,71.0,75.0,67.0,117.0,78.0
928,,,0.0,0.0,213.0
535,157.0,41.0,17.0,59.0,151.0
1216,,,,,
537,96.0,129.0,73.0,93.0,65.0
538,113.0,134.0,119.0,114.0,75.0
539,86.0,164.0,130.0,5.0,36.0
540,96.0,127.0,141.0,2.0,17.0
541,72.0,136.0,107.0,53.0,54.0
1091,,,,82.0,135.0
542,95.0,118.0,101.0,103.0,68.0
543,107.0,109.0,220.0,61.0,56.0
544,96.0,106.0,120.0,89.0,87.0
946,96.0,127.0,117.0,51.0,68.0
1129,,,,,
545,136.0,100.0,60.0,31.0,59.0
546,106.0,143.0,92.0,79.0,99.0
547,,116.0,93.0,110.0,112.0
548,112.0,99.0,69.0,71.0,51.0
1275,,,,,
550,99.0,111.0,53.0,81.0,78.0
935,,,75.0,99.0,81.0
551,94.0,69.0,87.0,83.0,80.0
1099,,,,,
970,,,95.0,126.0,98.0
552,224.0,106.0,18.0,0.0,58.0
553,117.0,88.0,26.0,0.0,115.0
1150,,,,,
554,88.0,102.0,116.0,88.0,82.0
1175,,,,,
966,,150.0,93.0,33.0,90.0
555,,96.0,98.0,111.0,129.0
1145,,,,,
556,102.0,112.0,91.0,77.0,76.0
557,113.0,116.0,132.0,63.0,48.0
558,325.0,0.0,0.0,8.0,179.0
559,121.0,149.0,206.0,36.0,66.0
560,99.0,124.0,77.0,126.0,234.0
1115,,,,,
561,102.0,163.0,285.0,65.0,48.0
562,,,,,
563,102.0,95.0,40.0,43.0,53.0
564,82.0,76.0,90.0,122.0,96.0
565,98.0,89.0,83.0,93.0,82.0
566,90.0,138.0,202.0,69.0,45.0
1116,,,,,
513,,108.0,135.0,70.0,69.0
568,107.0,127.0,113.0,49.0,60.0
